Name,Mission,Country

"Tod A. Kniazuk","It's so easy to only think in the bubble - of a specific community, specific experiences, or specific issues. Being part of Americans for the Arts opens the door to a myriad of new thoughts, ideas, and colleagues. The staff is even available to come to you; my organization Arts Services Initiative of Western New York brought Jay Dick to Buffalo to do advocacy training for our area's cultural leaders. Having access to AFTA's materials and staff is like having a full time researcher in your organization, or like being part of an ongoing class on best practices and emerging trends - all without leaving your office. That said, I'd highly recommend leaving the office to attend the annual AFTA Convention. In just a few days I learn from the best, connect with my peers, and return to Buffalo refreshed and excited to be working in the cultural sector. This year I was even honored to be chosen to present at the convention, and hopefully give a little back as I continue to get so much from AFTA.","United States"

"Artist INC Live: Mid-America Arts Alliance","Mid-America Arts Alliance wanted to take action to empower artists to continue their strong role in the ecology of the creative economy. So they decided to do something new: train artists as entrepreneurs. To this end, Mid-America Arts Alliance (M-AAA) has entered into a partnership that invests more fully in the lives of the artists who work in their region providing a cutting-edge professional development for artists across six states.

Artist INC Live is an eight-week intensive program designed to provide working artists with the business skills needed to excel in their practice. Once a week for three hours, a small group of 25 artists meet and receive instruction from artist-facilitators and subject matter experts from the local community who impart skills in arts planning, marketing, finance, law, and technology. The program is open to artists working in a range of disciplines and with skill levels ranging from emerging to experienced. Guest lecturers and an intimate classroom setting with ample opportunity for group work are cornerstones of the program so the artist-participants have the opportunity to network with their peers and explore the practical applications of the lessons.“It’s a very intensive and rewarding program” says Mary Kennedy, Executive Director of M-AAA. “The eight-week structure allows the artists to absorb and incorporate the lessons into their practice. The fact that artists teach the program is also a strength, because it creates a network for both the facilitators and the artists enrolled in the program. The networking becomes a tremendous resource in their career and fulfills the artists’ desire to connect with other artists working in different disciplines.”

First launched in 2009, Artist INC Live is an outgrowth of research initially undertaken by Arts KC and the Charlotte Street Foundation in 2007, aimed at gaining a better understanding of the needs of artists in the Kansas City region. When it was discovered that the artists in the community desired business skills, the partnership expanded to include the University of Missouri-Kansas City’s Innovation Center. Program Director Diane Scott was hired to conduct a feasibility study for developing such a program in the KC community.  After conducting extensive research on similar professional development programs across the country, Scott found that as successful as those programs had been, none offered a replicable or defined curriculum. “What’s novel about Artist INC Live is that it has longevity.” Scott remarks, “We have developed the entire curriculum so that it’s replicable anywhere. We don’t have to go into other communities to run this program; instead we train the facilitators and they return to their hometowns to run their own sessions of Artist INC Live.“  

At the time of its launch the program was available exclusively to Kansas City artists, but it was so successful among artist-participants that demand for the program soon grew beyond the City limits. The program has since expanded to include an online workshop (which is available to artists across the country), free one-day workshops, strategic counseling sessions and an advanced level course “Artist INC II” for continuing artists. Since the program launched in 2009 “Artist INC Live” has served an estimated 400+ artists in the Kansas City region. When M-AAA joined the partnership in 2013, it extended the reach of the in-person workshop “Artist INC Live” to more than 200 additional artists in Little Rock, Arkansas and Oklahoma City, Oklahoma. This year in addition Little Rock and Oklahoma City, the program will expand once more to serve artists in Omaha, Nebraska and Austin, Texas.","United States"

"Vicki Scuri","I value being a member of Americans for the Arts because it promotes arts-community awareness and creates a platform for discussion and connection. I especially enjoy browsing the listservs to learn what topics are of interest to arts professionals across the U.S. The Listservs are a great resource for all kinds of information. One can engage actively in dialogue or passively follow conversations. Both are engaging and informative. Also, I enjoy attending the AFTA conferences, especially the Public Art Network pre-conferences. These conferences allow one to connect names and faces, to meet new colleagues and to become informed about the arts locally and globally. I enjoyed the recent conference in Pittsburgh, especially the local performing arts and the variety of discussion groups, workshops and social events.  Americans for the Arts is a great umbrella for all the arts and I greatly appreciate the opportunity to be a member of this group.","United States"

"Letitia Fernandez Ivins","As a member of the Emerging Leaders Council from 2009 to 2012, I had the opportunity to serve my colleagues while reaping the benefits of building and serving a national network, experimenting with new methods of service including audience and content development, event planning and presenting not to mention the requisite commiseration and merry-making. Those three years were transformative.

This period was punctuated when I was asked by Americans for the Arts to moderate a closing panel discussion at last year’s Convention. I was honored and anxious. I had never moderated a panel, let alone before 250+ peers and senior public art leaders. But I was struck by Americans for the Arts trust in my ability and inspired by this affirmation of their commitment to next generation leadership. We had an honest and energetic discussion about the range of career trajectories that make our workforce so textured and nimble. We were called to become “guerilla bureaucrats” and to sharpen our senses and leverage artists in order to draw out naturally occurring creative energy in communities. For me, the experience was incredibly gratifying- I was given the space to flow! However, more significantly the challenge gave me a confidence boost when I needed it the most, before I checked out for a few months to have my second baby. It renewed my commitment to culture work and paved the way for an enthusiastic return to the job!","United States"

"Arts Council of Kanawha Valley","What is a fledgling Arts Council to do when almost every artist asks if grants will be given out? You start searching the web and social media for ideas about how other communities have answered this question.That's what Arts Council of Kanawha Valley did eventually stumbling across the site SundaySoup.org, an international grass roots initiative for feeding the creative community – literally and monetarily.   Most of the events featured on the site had donated food, e.g. soup or pasta, requested a minimal entry fee, open mic for creative projects and simple voting system.   While the community was enjoying the food, artists were pitching their ideas and then the audience voted for their favorite project.

This idea was brilliant. It was a natural fit for the organization to get arts community buy-in, introduce themselves to a wide variety of audiences and work with local businesses.   Since most of the events on Sunday Soup had names similar to food, such as FEAST, Grub, Stir, Stock – some were acronym such as CAFE ,“Creative Arts Funding Endeavor” - they came up with Square Meal.  It was decided that Square Meal would happen at local restaurants with 4 artists presenting for 4-8 minutes, reservations were $16 ($10 grant money, $5 for the food and $1 for us) and winners had 8 months to complete the proposal goals and had to submit a 4 minute video as a final report. Being the quirky, creative arts organization, that they are, they got a kick out of breaking the program down into multipliers of 4 and decided to run with it for this program.

Restaurants loved the idea and had no problem with the low-ball of $5 a head for food.  Some have used this to try out new menu items.   Sponsors helped the council start the grant pool at $200+ rather than $0.

As part of Kanawha Valley's organizational goals, it was decided that they would introduce a formal Call for Proposals.  Giving priority to artists, arts groups and creative projects and second priority to community development proposals.  Proposals had to answer 4 criteria:

Project Description: 150 word summary of project while being as specific and tangible as possible.  (These were included in press releases, social media and read aloud for the introduction.)
Relevance/Need: Why is this project important now? What is the project’s historical, personal and contextual background? What will happen if you don’t get funding? Is this feasible? Have you done a similar project?
Use of Funds: How will you specifically spend the money if you are funded? Do you have other partners?
Timeline and Final Report: When will the project be complete? How will you know it’s successful? How will you evaluate its success?
Call for Proposals are released about 4 weeks from the scheduled event. After received, proposals are blind carbon-copied emailed to a panel of 5 jurors.  The jurors represented all genres of arts and ranged from professors, patrons or working artists.  Jurors rated the proposals using a rubric and invitations to present were sent to the 4 highest totals. 

Audience members are encouraged on the ballot to donate additional funding for presenters regardless of winning.  Several have received use of hotel points, donation of equipment, purchase of specific supplies or offer of cooking meals for film crew.

Since the program was started almost 3 years ago, projects funded have included:  High School World Music Percussion Ensemble to purchase a trailer for performances and travel, purchase of decent projector and screen to show free Art films weekly at a local art gallery/bookstore, funding for props and model fees for a local chapter of Dr. Sketchy’s Anti-Art School, purchase of a pug mill (clay recycling machine) for local pottery cooperative, funding for upcoming visual art exhibit, purchase of fabric for Teddy Bears for Police Departments, theatrical production to raise awareness of domestic violence, funding for Montessori school play about the Cycle of Life using lights, and funding to help start a Low-Power FM radio.

Connecting the community to the artists is the outcome of this crowd funding model.  It truly leaves a lasting impression on the audience members, gives opportunity to meet artists, gives creative individuals a platform to share their ideas and leaves everyone with fuzzy feel-goods and a better community.","United States"

"Childsplay","For 36 years, Childsplay has remained  at the forefront of arts education in Arizona schools—transforming the academic experience for thousands of Arizona students so much so that students have come to recognize the company, its teachings, and shows as part of their traditional academic experiences.

Childsplay was founded by David Saar in 1977 with the belief that children could reap great benefits from experiences with professional theater. Since then, Childsplay has become an internationally respected, award-winning professional theater company, focused on children’s theater and arts education. Childsplay serves an average audience of 200,000 students, families, and teachers each year. Its season includes several local touring productions, a national touring production, and a series of in-house productions at the Tempe Center for the Arts.

The local touring productions, which visit hundreds of schools throughout the state, are the mainstay of the organization and continue a tradition started by Saar and his colleagues in 1964. Childsplay touring productions are so well known, it’s estimated that one in five Arizona students, K-6, has seen a production. This number stands as testament to the reach Childsplay’s touring productions has had in the state where much of its audience lives in rural communities at or below the poverty level. In addition to Childsplay’s productions, the company also hosts an array of educational programming at the Tempe Center for the Arts; programs include a theater academy throughout the year, summer classes, and a conservatory for more serious theater students. The company also partners with school districts to offer afterschool programming. 

Childsplay’s touring theater season and educational programming aren’t the only features of the company that make it Arizona’s leader in arts education; Childsplay also offers arts education resources in more than 40 communities every year. These opportunities take the form of artists’ residencies, facilitated by professional teaching artists, and professional development workshops for teachers.","United States"

"C.R.E. Outreach","theater company Outreach has launched Heroes' Stories, programming for war veterans to honor and empower our country's brave service members. In partnership with New Directions at its local Veterans’ Affairs office, the program gives vets a safe outlet to voice their own heroic experiences and stories.

Stands for create, reflect, and empower, and the organization uses theatre to enhance self-esteem, encourage self-expression and empower individuals to overcome the challenges in their lives. Next up for is a groundbreaking musical called Beyond Sight, which tells the story of U.S. soldier Jack Carter, whose life is forever changed when he is blinded during combat in Afghanistan. Upon his return, he is forced to face the challenges of reintegrating back into society without his vision.

Beyond Sight is so much more than a musical - it is a project that hopes will raise awareness about the struggles of our nation’s service members and garner support for these brave men and women as they return to civilian life.

According to the Bureau of Labor statistics, there are more than 2.3 million soldiers who have served in the Iraq and Afghanistan wars. One out of four of these soldiers returns with a service-related disability. In addition to physical injuries, many veterans also suffer from emotional and psychological conditions including Post Traumatic Stress Disorder, guilt, and depression. Far too often, these individuals don’t receive adequate care and support to address these issues. Beyond Sight is an empowering story of hope and courage meant to prove that these individuals are not defined by their disabilities and can live successful and fulfilling lives.

Development for Beyond Sight began three years ago when C.R.E. Outreach’s acting troupe, Theatre by the Blind, in partnership with the Braille Institute of Los Angeles, presented a production focused on the challenges of disabilities in military families. Then, in June 2013, Outreach brought another production, Which Direction, to a stage at the Veterans’ Affairs office in Los Angeles—an original production that depicts the amazing untold stories of a group of military veterans. Their stories and real accounts of war on the front lines inspired to begin production on Beyond Sight. Subsequent interviews with veterans lead to a script that realistically portrays military lives and experiences in authentic detail. One of the keys to authenticity for this new production will be Beyond Sight’s casting of military veterans and blind actors in key roles.

The show will premiere in Los Angeles in spring 2014. However, after the premiere, Outreach hopes to have Beyond Sight tour the nation, spreading this important message to everyone. One of the vets that C.R.E. works with summarizes why projects like Beyond Sight are so significant:

The last 12 years have taken a toll on all of us. For some, the scars are obvious, and for others they are hidden but still there. All of us come back changed, some of us more than others. I think this project is great because it will help remind people that these changes are lifelong. My biggest fear is that as the war ends in the next year and the American public's attention moves to something else, the numerous Vet support efforts that have sprung up will die, and soldiers like Jack, will be forgotten. Projects like this can help people to remember.","United States"

"Outreach is not the only arts organization working with returning veterans. The military has identified four areas as critical to the success and preparedness of our troops: Readiness, Resiliency, Retention, and Reintegration. Artists and arts organizations are uniquely suited to help service members in these four critical areas by the very nature of the work they already do – using art to help people express themselves and build bridges through shared experiences in a community.","United States"

"Eastern Michigan University’s Arts Management Program","Students enrolled in Eastern Michigan University’s (EMU) Arts Management Programs (Undergraduate & Graduate) produce two-day music festivals, art competitions, face and body paint tailgating activities, art crawl events, and reality TV shows as part of an academic service learning project and student organizational activity designed to give members their first experiences as arts administrators.

The Arts Management Project (AMP) is a yearly project undertaken by students of the Arts Management program at EMU. The project, which doubles as a student organization, produces arts-based events and creates opportunities for EMU’s student artists to present their talents to the campus community. 

Previous events organized by AMP include the AMP Music Fest, a two day event, featuring The Hard Lessons, a Detroit based band, and more than 20 student bands;  a face & body paint tailgate activity, organized during the week of homecoming; Art Crawl, art opening featuring student work organized at an off-campus gallery; and more recently Clash of the Creators, their filmed reality TV competition. 

AMP events have become well-received since their first production almost six years ago. In 2013, the organization was nominated for an award for its commitment and positive contributions to the campus community. AMP is not only AMPlifying the Arts (the organization’s tagline) on the campus community, but also achieving its mission of connecting EMU student artists with audiences, venues, and opportunities to empower them to transform their creative practices into careers.

AMP provides its student members with field experience and serves as a professional network. Members learn firsthand what it’s like to market, plan, and fundraise for events. Students also learn how to manage projects, forge partnerships, manage budgets, and work with artists. They often travel to association conferences and are kept abreast of events and other local professional development opportunities.

Membership to AMP is open to all EMU students, and governed by an eight-member board and faculty advisor. In the spring of 2013, AMP’s President was presented with the Gold Medallion Award for “Outstanding Leadership by a Student” during a ceremony hosted by the Division of Student Affairs and Enrollment Management. AMP (the organization) and the faculty advisor were also nominated for awards.","United States"

"Porter Arneill","This “accidental” arts administrator first discovered Americans for the Arts during the conference in St. Louis in the early 90s. I was working as the curator of education at Laumeier Sculpture Park at the time and was privileged to provide tours for conference-goers. Like a puppy first discovering a familiar species in the neighborhood, I was spellbound by the unique gathering of arts professionals. Through good fortune, I became a member and have attended almost every conference since 1995.

Americans for the Arts membership provides me a myriad of connections, resources, and opportunities to grow in this uniquely exciting and ever-changing field. The annual convening of my peers is invaluable as both a professional resource and a therapeutic experience! The Public Arts Network (PAN) Council provides current information, and I often seek wisdom from the growing catalog of webinars and the wealth of other resources on the website. Membership in Americans for the Arts keeps me connected with the most nimble-witted and altruistic people I know ― can’t beat that.","United States"


"A Blade of Grass","A Blade of Grass nurtures socially engaged art. We provide resources to artists who demonstrate artistic excellence and serve as innovative conduits for social change. We evaluate the quality of work in this evolving field by fostering an inclusive, practical discourse about the aesthetics, function, ethics and meaning of socially engaged art that resonates within and outside the contemporary art dialogue.","United States"

"Act 3 International","ACT 3 International is an arts company that believes in promoting the Arts to children. Believing in an all-round learning environment when it comes to children, we cover all aspects of Drama and Theatre.","Singapore"

"Africa Centre","The Africa Centre is both a physical entity and ongoing philosophical journey that explores how Pan-African cultural practice can be a catalyst for social change. We believe that creativity and innovation are powerful tools that: manifest what otherwise would only sit in our imaginations; release new ideas and make them freely accessible; and ensure that people living on this soil can define for themselves what is possible and what their reality looks like. These beliefs are brought to life through a range of programmes in various countries as well as online. Our current programmes – Artists in Residency, Badilisha Poetry X-Change, Everyday African Urbanism, Infecting The City, Talking Heads, and WikiAfrica all celebrate and explore what it means to be in Africa today and what is conceivable for 21st-century Africans.","South Africa"

"Ajoka Theatre","Objectives: Ajoka Theatre aims to do socially-meaningful theatre and thus contribute to the struggle for a secular, humane, just and egalitarian society in Pakistan. To promote theatre in Pakistan by blending traditional theatre forms with modern techniques and to provide entertainment which has a social relevance.","Pakistan"

"Al-Rowwad Center","Alrowwad (Pioneers for Life) for Culture and arTs (ACTs) is an independent, (and) not-for-profit, non-governmental organization, distinguished by its philosophy of “Beautiful Resistance,” working in the spirit of social entrepreneurship, to deepen the notion of belonging, volunteering, creativity and self-expression for children, youth and women, regardless of origin or religion. We partner with kindergartens, schools and the local community to create a harmonious and unified society using and employing “non-violent” expression through education as well as with performing and visual arts which preserve Palestinian oral history. Moreover, ACTs provides vocational training for job creation and building the peace within individuals to be able to build it among Palestinians and the world.

ACTs was established by a group of volunteers in 1998 in Aida refugee camp-Bethlehem with the belief that everybody has the potential to be a change-maker with the philosophy “With or without money, we do it.” ACTs has developed its pioneering programs with local and international partners according to the needs and agendas of the community while also undergoing capacity-building of the organization and its employees through specialized training and development of infrastructure using modern technology for human communication. In diffusing its programs and activities by building bridges of partnerships and exchanges locally and internationally, based on respect of human rights and values and conservation of Palestinian traditional culture and environment.","Palestine"

"Albany Park Theatre Project","We are Albany Park Theater Project, a multiethnic, youth theater ensemble that inspires people to envision a more just and beautiful world. We are dedicated to art, to youth, and a vision of social justice.","United States"

"Alternate ROOTS","Alternate ROOTS supports the creation and presentation of original art that is rooted in community, place, tradition or spirit. We are a group of artists and cultural organizers based in the South creating a better world together. As Alternate ROOTS, we call for social and economic justice and are working to dismantle all forms of oppression – everywhere.","United States"

"Ambulante","Ambulante is a non-profit organization that focuses on supporting and promoting documentary film as a tool for social and cultural transformation. Founded in Mexico in 2005 by Gael García Bernal, Diego Luna, Pablo Cruz and Elena Fortes, Ambulante brings documentary films and training programs to places where they are rarely available in order to create a participative, informed and critical public, cultivate new forms of expression, and encourage debate in Mexico and abroad.","Mexico"

"Animating Democracy","Animating Democracy inspires, informs, promotes, and connects arts and culture as potent contributors to community, civic, and social change. As a program of Americans for the Arts, we bring national visibility to arts for change work, build knowledge about quality practice, and create useful resources. By demonstrating the public value of creative work that contributes to social change and fostering synergy across arts and other fields and sectors, we work to make the arts an integral and effective part of solutions to the challenges of communities and toward ensuring a healthy democracy.","United States"

"ArcheDream for Humankind","ArcheDream for HUMANKIND has performed shows and taught workshops to thousands of adults and children across the world, seeking to influence its audience to think beyond their means. ArcheDream for Humankind uses Archetypes- which are universal thoughts, ideas or emotions, in their performances to reach audiences across the globe.","United States"

"Arena y Esteras","Arena y Esteras is an organization of artists, educators and leaders committed to our community. We propose a way of being and doing art that contributes to human development and social transformation. By using theater, circus, music, dance and visual arts we assume the creative capacity of people as an artistic strategy that enables the ability to live, to be resilient and synergistic.","Peru"

"arepp: Theatre for Life","arepp:Theatre for Life's mission is to produce travelling applied theatre presentations in schools, providing interactive, social life-skills education to school-going youth, to develop self-efficacy and resilience in relation to sexuality and relationships, and the attendant attitudes, behaviours, values and views that are inherent therein.","South Africa"

"Arpegio","Our mission is to promote cultural, artistic and academic development of children and young people through music and social education, thereby improving their life prospects and fostering social integration.","Peru"

"Art Can Heal Montreal","As a community hub for people living with cancer, their loved ones, and their health practitioners, ACHM facilitates art-making on a personal, collective and community level. We organize and curate open exhibits, as well as art-based supportive spaces and other wellbeing projects. We are also involved in several research studies to better understand how creative processes and supportive spaces benefit those affected by cancer. In addition, members of ACHM are developing a blog sharing treatment-friendly recipes and a variety of artworks made by patients and supporters. Art exhibits, research, presentations, and an online presence provide an empowering opportunity for our patients to share aspects of their journey. The larger community, in turn, has an opportunity to witness and better understand patient experiences.","Canada"

"Art City","Art City is a not-for-profit community art centre dedicated to providing people of all ages with high-quality art programming, free-of-charge. Art City’s primary goal is to provide the opportunity and a safe environment for anyone who wishes to express him or herself creatively.","Canada"

"Art EntrElles","“Agir par l’imaginaire” is a community art project initiated in 2007 by the Elizabeth Fry Society of Quebec in partnership with Engrenage Noir / LEVIER. A small group of women who participated in this project - and wished to pursue their artistic exploration -  founded in 2009 an art collective named Art Entr'Elles (registered as a non-profit organization since 2011).

Since its inception, Art Entr'Elles has carried out seven artistic projects that address the issues around incarceration of women, such as systemic poverty and social reintegration challenges. The collective uses community arts as a way to brings together professional and community artists (women with the living experience), in a non-hierarchical collaborative artistic process.

Art Entr'Elles is defined as a collective of women artists who say NO to poverty, violence and intolerance. It encourages critical reflection, creative exploration and sociopolitical expression of its members and the public.","Canada"


"Art for Humanity","Art for Humanity is an organisation which engages with cultural production, specifically in the visual arts, to promote human rights awareness regionally and globally. The organisation focuses on the creation of fine art print portfolios, in collaboration with the participating artists, poets, endorsers, exhibitions, publications, billboards and research projects which advocate various human rights issues in South Africa, across Africa and internationally.","South Africa"

"Art for Impact","Art for Impact celebrates arts capacity for social change. Our organization focuses on the following five objectives:

Building communities
Making connections
Raising awareness through dialogue
Motivating positive action and change
Encouraging personal growth","Canada"

"Art for the Sky","Art For the Sky is a unique, team building activity for schools and special events that helps dissolve boundaries that often exist in our daily lives. These enchanting creations are a whole-body way of stimulating our imagination to see the elusive big picture and help us understand our interconnection with one another and all life.","United States"

"Art Heals program, Two Rivers Gallery","Art Heals is a Two Rivers Gallery program that has a history of over 10 years. Through this program, an artist works with University Hospital of Northern BC clients in the pediatric unit, adolescent psychiatric assessment unit, youth detox, adult psych and adult detox once or twice each week throughout the year. Each session is a hands on studio art activity aimed at engaging the clients and giving them an opportunity to express themselves through art.","Canada"


"Art Starts","Art Starts inspires long-term social change in Toronto’s under-served neighbourhoods. We use the arts to engage residents, collectively work to overcome challenges and create a shared sense of identity. Our collaborative approach to art-making celebrates communities, nurtures resiliency, cultivates life skills and inspires personal growth.","Canada"

"Art Forms Hamilton","Art Forms is a youth arts organization designed to provide art-making opportunities to youth who are on the fringe. We believe in the transformative power of the arts, especially for marginalized groups. Our space on James Street North is perfectly poised to attract a wide variety of groups since we are located in the heart of Hamilton’s art district, which also houses a handful of youth services. Art Forms has one staff, a steering committee who provides governance, and several community and program partners who contribute in different ways.","Canada"

"Art with Heart Program, Trust For Indigenous Culture and Health","Our aim is to create health and encourage healing by building on the deep connections between our well-being and our culture. All of our work links the power of art to community and to action. All of our work seeks to bring local wisdom, ancient and new, to our quest for healing and justice. Our Art with Heart program includes body mapping with vulnerable groups, community murals, children’s art, traditional music, and a range of programs at the TICAH Peace Path and National Museum installations. All of this work connects the power of beauty, of expression, and of story-telling, with health and healing.","Kenya"

"Art x Culture x Social Justice Network","This network is based on the power of art and culture to advance social justice by inspiring collective action across identities, issues, sectors, geographies, and power imbalances. The network is unique in bringing together artists, activists, cultural bearers, and philanthropists.","United States"

"Artbeat Studio","Artbeat Studio is a mental health consumer initiated, peer directed, and recovery oriented program. This community-based studio accommodates artists whose mental health, social connection, and income make it impracticable for them, individually, to acquire a workspace where they might advance their artistic technique safely and securely. The artists are supported and mentored in managing their own workplace, production, and marketing within the operating parameters of the studio.","Canada"

"artcirq","Artcirq evolved into a community-based circus and multimedia company, allowing northern and southern artists to bridge and meet in a meaningful and creative way.","Canada"

"ArtCorps","ArtCorps seeks to build a vibrant, just and sustainable world by reconnecting humankind to their innate creative capacity. Our transformative training, coaching and on-site support challenge those working on the frontlines of social change to see the world through a new lens that questions assumptions and stretches boundaries. By cultivating creative thinking, critical analysis and artistic expression, we seek to infuse the world with fresh ideas, deeper connections and healthier systems that can support long term change.","United States"

"Arte Acción","Arte Acción is a Honduran multidisciplinary association, working with youth, social inclusion and the promotion of their identity; through an artistic methodology, from youth to youth; providing an alternative training, awareness, articulation and expression. Contributing to generate creative spaces, critical social consciousness and a culture of peace.","Honduras"

"Artellewa Art Space","artellewa aims to create a space for reflection during this time of transition; a space for rejuvenation of ideas and progressive thought and connect Ard El Lewa and its inhabitants with the broader culture of the city and the world through art, and creates a unique opportunity for Egyptian and foreign artists to interact and experiment with the local community and environment.","Egypt"

"ARTery Arts and Health Society","We are a not for profit organization. We facilitate arts and health programs to support the physical, mental and emotional well-being of people of all ages and abilities to transcend their dis/ease by engaging with the person beyond their illness. We offer opportunities for decision-making at a time when choice is scarce. Mission
The mission of ARTery Arts and Health Society is to support the physical, emotional, and mental well-being of individuals of all abilities, patients and residents of long-term care, hospitals, and populations affected by gender-based violence by engaging patients, families and staff in creative arts programs that promote well-being and build community.

Goals: 
We aim to relieve conditions associated with illness, disability, aging, or being a victim of gender-based violence by providing arts-based programs.

We engage with the person and remind them of their lives beyond their illness or trauma offering them opportunities to make choices, be creative and be part of a creative community.

Our vision is that all patients in hospitals will have an opportunity to explore their own creativity through our projects and in doing so, transforming the healthcare experience into a place of healing.

We hope to advance education by providing instructional seminars on the use of arts in promoting health to students, healthcare workers and artists.

What drives us is our belief that the arts can be a powerful tool in opening individual potential, developing and healing community and reminding patients of their lives beyond their illness. Collaboration and participation is at the core of all consultation, with projects designed to actively engage all stake-holders.

Working with professional artists we design and facilitate arts-infused programs that enrich the experience of patients in the hospital, and their families and staff.  While there are therapeutic benefits to participating in the process of creating art, that is not the primary aim, rather it is to transform their experience into one that makes them less institutionalized and engaged in the world. 

We work with you to build:

Arts-infused Programming
Intergenerational Social Engagement
Community Building
Healing Environmental Design
Program Evaluation
Employee Involvement
Training and Education","Canada"

"Artism","Artism is a series of art workshops located at 100 Braid St Studios in New Westminster, British Columbia. Artism’s focus is to instruct individuals with atypical physical and cognitive abilities in an inclusive and supportive environment.","Canada"

"Artist Proof Studio","The Mission of Artist Proof Studio is to provide an environment to develop citizens with a common set of values, expressed in the notion of Ubuntu, that have talent and passion to achieve artistic excellence. APS focuses on printmaking and its allied outreach programmes to build capacity of people to reach self-actualisation and make a difference in society.","South Africa"

"Artists for Peace and Justice","Artists for Peace and Justice supports communities in Haiti through programs in education, healthcare, and dignity through the arts. With your help we are removing the barriers that poverty poses to a future of opportunity for children in Haiti.","United States"

"Artists in Healthcare Manitoba","Artists in Healthcare brings live music and arts to patients receiving treatment in oncology, palliative care, rehabilitation and dialysis. On units throughout hospitals in Manitoba our unique programs provide important benefits for patients, families, and staff as an oasis from stress and anxiety often found in these environments.","Canada"

"Artists Without Borders","Our mission is to offer children arts-based experiential learning opportunities that will help build a sense of wellbeing, confidence, and hope. These experiences are desperately needed, especially in third world areas suffering from poverty, conflict, and climate change.","Canada"

"ArtReach Program, The Charlotte Street Arts Centre","ArtReach programming has reached socially and economically disadvantaged children, youth at risk, families, seniors, ethnic minority groups, abused women, homeless men, mental health patients and those rehabilitating after incarceration. These are individuals who would not normally have access to this type of programming.","Canada"

"Arts and Alzheimers","Arts & Alzheimers is an art and music participation program for seniors with dementia living at home with their caregivers; stimulating minds & supporting caregivers. Dementia can affect a person’s ability to communicate leaving them feeling lonely and isolated. Parts of the brain associated with the arts and music remain intact far into the disease. Arts & Alzheimer’s engages the best practices of dementia care including socialization, structured routine, non-verbal activity and an expressive outlet.","Canada"

"Arts & Health Project","The Arts & Health Project addresses the current gap in seniors’ services between those for well older adults and those for frail seniors who are in care. It provides professionally led arts programming for vulnerable seniors in community and seniors’ centres. The intended long-term outcome of this project is “strong, healthy communities that engage seniors as full and active participants and that value the arts as a key contributor to health.”","Canada"

"Arts Academy, the Stephen Lewis Foundation","Holistic. Dynamic. Transformative. These are the underlying themes of the Arts, Activism and AIDS Academy. This pilot initiative of the Stephen Lewis Foundation will bring together African frontline workers to explore the innovative ways in which they integrate the arts into their community response to the AIDS pandemic. Whether it’s the use of music, song, spoken word, street theatre, dance, memory books, body maps—the creative work of community-level organizations serves to remind us of the innovation, talent, vision and leadership they bring in the struggle to overcome the AIDS pandemic.","Canada"

"Arts Collective Theatre","Arts Collective Theatre is committed to delivering educational theatre based practices to the Windsor – Essex Community and beyond. We look forward to developing new partnerships and through this active engagement, create further pathways of learning. Mentorship and learning opportunities are rooted in our artistic processes. Arts Collective Theatre is dedicated to enhancing the life of the community by bringing awareness to social justice issues at home and beyond Windsor.","Canada"

"Arts Network for Children and Youth","The mission of the Arts Network for Children and Youth is to ensure that all children and youth have the opportunity to experience creativity and the arts for their personal growth, social development and community involvement.","Canada"

"Arts With Impact Canada","Art With Impact promotes mental wellness by creating space for young people to learn and connect through art and media. AWI is committed to a future where artists are revered as cultural icons of courage and change, enabling young people to communicate freely and fearlessly about their mental health.","Canada"

"Arts4All","ARTS4ALL provides an expressive playground for all members of the Davenport Perth and Pelham Park neighbourhood in West Toronto. Professional artists collaborate with community members to create original works of art that celebrate and transform how we all live together. In our collaborations, divisions between generations, cultures, classes and abilities are bridged, we develop tools of expression that communicate thoughts and feelings and we showcase talents while nurturing the process of getting to know one another. Everyone is Welcome!","Canada"

"ArtsCan Circle","ArtsCan Circle is a charitable organization with a mission to encourage the self-esteem of Indigenous youth in isolated Canadian communities through a cooperative exploration of the arts.","Canada"


"Artscape Youngplace","Artscape Youngplace nurtures creation, learning and collaboration through innovative programs, experiences and events in an inspiring, social environment in order to strengthen and grow our community.

Part ideas laboratory, part creativity workshop, Artscape Youngplace is a community cultural hub located in Toronto’s West Queen West neighbourhood, with 75,000 square feet of space devoted to artistic inspiration, learning, growth and expression.

The facility opened in 2013 after a major renovation and community consultation process. Artscape’s $17 million transformation of the building, a former school, was completed just before the centenary of its construction in 1914. Artscape Youngplace is named in recognition of a generous lead gift from The Michael Young Family Foundation.

The artists and organizations inside the building represent a vibrant mix of art forms and cultural mandates and provide many programs and events to enjoy. The surrounding neighbourhood is one of the country’s most creative, and is a major centre for contemporary art in Canada.","Canada"
