Additional Info,Address,ArtBridging Section,Arts Focus,Facebook,Languages,Linkedin,Main Catchment Area,Main Communities Served,Main Community-Engaged Arts / Arts for Social Change Activities,Main Contact Email,Main Contact Name,Mandate/Mission,Organization Name,Phone,Profile URL,Secondary Address,Secondary Contact,Status,Twitter,Website
"Four groups of seniors and artists work within the our current three year mentorship initiative at sites across Vancouver and North Vancouver.

Project alumni elders and seniors' groups continue at work across the area and participate in our annual Showcase Exhibition and presentation in June each year at the Roundhouse Community Arts and Recreation centre. Please seeartsandhealthproject.com for ongoing project updates.","7646 Prince Albert St (Moberly Arts and Cultural Centre)
Vancouver, BC  V5X 3Z4",,"The six current workshop sites each focus on different methods of art production include puppet theatre, choir, mixed media arts, painting and drawing, digital storytelling, and writing and performance.",,"English, Cantonese, Mandarin",,"British Columbia, There are presently six Arts & Health Project sites in Vancouver and North Vancouver.","Seniors, The project targets vulnerable populations of older adults.","The project provides community-engaged arts programming for targeted communities of vulnerable seniors, led by a professional artist. The seniors and artists work together to develop work that is important to them. 



Different than a classroom dynamic, this project is a working collaboration that draws on the skills and experience of everyone within the group. The project is free of charge. The project is coordinated through the Arts, Culture and Environmental Art Office of the Vancouver Board of Parks & Recreation and is affiliated with British Columbia.",margaret.naylor@vancouver.ca,"Margaret Naylor, Project Coordinator","The long term goal of the project is to facilitate strong and healthy communities that engage seniors as full and active participants in the arts, and that value the arts as a key contributor to the health of all people. 

The project strives to maintain and improve the well-being and health of vulnerable seniors through active, ongoing participation in community-based arts practices facilitated by professional artists from different arts disciplines. 



The expansion of the site delivery program and the development of on-line resource packages over the next few years will support healthy aging and professional development across BC.",Arts and Health Project,(604) 718-5857,http://artbridges.ca/community/profile/38,,,Project,,http://vancouver.ca/parks-recreation-culture/arts-and-health-project.aspx
,"1942 Wyandotte St. E
Windsor, ON  N8Y 1E4",,"Visual, media, theatre, dance, music, literary arts",,English,,"Ontario, Windsor & Essex County","Adults, Youth",The ACWRâ,info@acwr.net,"Michelle Le Chien, Executive Director","MISSION: A Non Profit organization that enriches the quality of life for all by strengthening the arts and the community through leadership, education and promotion.



VISION:  Support artists and arts organizations in Windsor and Essex County to fulfill their creative business potential

 Place arts, culture and creativity at the heart of economic development

 Make the arts a centerpiece of Windsor and Essex County life



VALUES:

 Leadership - We advocate for our creative community

 Inclusive - We reflect audience and creative community diversity

 Innovative - We support new and innovative art and artists

 Open & Accountable - We are consultative and goal oriented

 Sustainable - We encourage and develop social, cultural and economic benefit for our community",Arts Council Windsor & Region,(519) 252-2787,http://artbridges.ca/community/profile/35,,,"Arts Council, Resource",,http://www.acwr.net
,"4893a Dundas St. West
Etobicoke, ON  M9A 1B2",,"Community Arts, Dance, Literary Arts, Media Arts, Multidisciplinary, Music, Theatre, Visual Arts",https://www.facebook.com/ArtsEtobicoke/,English,,"Ontario, Toronto",All Ages,"Established in 1973 to provide a united voice for the local arts community, we are recognized as one of Canada's finest community arts councils. We are proud to support established and aspiring artists of all ages and backgrounds with a broad variety of activities and services, including arts education, advocacy, community space and much more.",menon@artsetobicoke.com,"Menon Dwarka, Executive Director","Our mission is to support local artists and develop accessible, meaningful arts experiences for the residents of Etobicoke and beyond. Our vision is to expand our ""creative footprint"" and transform lives by invigorating, connecting, and empowering our diverse community through the arts.",Arts Etobicoke,416-622-8731,http://artbridges.ca/community/profile/515,,"Wendy Rading, Program and Gallery Manager","Arts Council, Charity, Non-profit, Program, Resource",https://twitter.com/artsetobicoke,https://www.artsetobicoke.com
,"Suite 2000, 1188 W Georgia St.
Vancouver, BC  V6E 4A2",Other community-engaged arts initiatives are invited to become community participants and gain access to our resources.,All art disciplines,,English,,Canada-wide,"Adults, All Ages, Children, Seniors, Youth","The Network engages arts/health users, organizations, decision makers, and the broader public to understand and support the connections between health and arts-based activities, as well as the multitude of ways that the arts can contribute to lowering costs, increasing effectiveness, and supporting the sustainability of our public health care system. We are also the primary source of arts and health information and resources in Canada, providing a platform for arts and health knowledge translation.",admin@artshealthnetwork.ca,"Lori Baxter, Administrative Services","The goal of Arts Health Network Canada (AHNC) is to bring arts and health activities into the mainstream of Canadian life so that all Canadians are able to engage in the arts to enhance their health, well-being, and improve their quality of life.",Arts Health Network Canada,1-877-352-3670,http://artbridges.ca/community/profile/260,,,"Charity, Non-profit",,http://artshealthnetwork.ca
"Arts Network for Children and Youth (ANCY) was founded in 2001 by Linda Albright. It actively contributes at forums, conferences, round tables and meetings both federally and provincially. ANCYâ","401 Richmond St. West, Suite 350
Toronto, ON  M5V 3A8",ANCY has been instrumental in getting small pockets of funding for the arts sector for children and youth ( for example: ArtReach Toronto.) It has numerous active collaborative partnerships. ANCY sits on several national and provincial boards where it shares reports about whatâ,All arts disciplines are represented.,,"English, French",,"Canada-wide, Ontario, ANCYâ","Children, Youth, from ages 3-30","It is a national community arts resource, specific to children and youth arts based programs in the community and primarily outside of the school. ANCYâ",info@artsnetwork.ca,"Linda Albright, Executive Director","Its mandate is to:

1.  conduct community development, 

2. influence policy and affect change within the childrenâ",Arts Network For Children and Youth (ANCY),(416) 536-6504,http://artbridges.ca/community/profile/37,,,"Non-profit, Resource",,http://www.artsnetwork.ca/
,"585 Dundas St. East, The Centre for Social Innovation
Toronto, ON  M5A 2B7",,"All arts - music, songwriting, traditional indigenous art/craft, visual arts, drama, media, crafts.",,English,,"Ontario, Northern Canada for programs, head office in Newmarket, ON","FNMI, Youth, Indigenous Youth - remote First Nations","Interactive Workshops in various aspects of art, music, drama. Youth engaged in hands-on programming in the arts - singing, songwriting, writing plays, puppetry, visual arts, learning to play musical instruments. Musical instruments are donated to each participating community to ensure youth have access to instruments.",artscanoperations@gmail.com,"Linda Turu, Operations Manager",ArtsCan Circle is a charitable organization with a mission to encourage the self-esteem of Indigenous youth in isolated Canadian communities through a cooperative exploration of the arts.,ArtsCan Circle,(905) 836-9117,http://artbridges.ca/community/profile/39,,,"Charity, Non-profit",,http://www.artscancircle.ca
"The components for the Arts Express Program include: 

Writing and coordination of a wide range of applications for arts funding from a variety of foundations, governments programs and private as well as corporate sources. 

Scouting for artists suitable for â","38 Sylvia Avenue
Halifax, NS  B3R 1J9",,"Visual arts (all media), film, dance, music, theatre, spoken word art, multimedia",,English,,"Nova Scotia, Spryfield, Halifax Regional Municipality","Children, Dis/Abilities, FNMI, Youth","Some of our recent highlights public art projects include the following: 

Installation of mosaic mural at a Captain Spry Community Centre Skate Park, in partnership with HRMâ",sfels@staff.ednet.ns.ca,"Sabine Michaela Fels, Arts Express Coordinator","The Arts Express Program was established specifically for the 10 schools feeding into J.L.Ilsley High School in Spryfield, Halifax, in order to allow for a stronger arts support within this unique family of schools. The program has been supported by the Department of Education and the school principals of this area since 2002 when the following mandate for the position had been established:  

 Direct support for existing arts programs and development of new arts initiatives.  

 Coordination of arts partnerships between schools and community.  

 Access to external sources of funding through available arts grants to enrich school and classrooms programs, as well as arts opportunities ranging from students with special needs to disadvantaged kids as well as gifted students. 

 Emphasis on ""prevention and intervention' by creating unique arts initiatives for students with diverse learning styles and those who are otherwise disengaged from our public schools.""",ArtsExpress,(902) 479-4612 ext. 570-1008,http://artbridges.ca/community/profile/40,,,"Non-profit, Halifax Regional School Board",,
,"340 Gerrard Street East
Toronto, ON  M5A 2G7","Any organization that has a deep interest in arts education, especially in rural and/or remote Northern Communities - we currently developing a partnership in the NWT and would also like to move into Nunavut, Yukon and Northern Ontario.",Multidisciplinary,,"English, French",,Canada-wide,"Adults, Children, FNMI, Youth","ArtsSmarts is a nationally recognized arts education organization led by resilient and flexible professional staff, Board of Directors and national Youth Committee, with a network of 16 long-term partners and three new and emerging partnerships across nine provinces and one territory who deliver arts education programs into the schools. In 2011-2012, these arts organizations, school boards and arts councils completed 284 projects that engaged 25,156 students in 113 rural and 156 urban schools, facilitated by 379 artists, 1,184 teachers and 851 volunteers. 



We're seeing positive and harmonious ArtsSmarts classroom environments, with students listening and learning from each other through greater team work and inclusiveness. They learn from their involvement in their ArtsSmarts projects. They feel good about themselves. They realize that they knew more than they thought they did. These students take pride in their classroom work.



By changing the way that students learn and how teachers teach by unleashing creativity and accelerating the power of learning, resulting in increased student engagement and success in the classroom.",fshakov@artssmarts.ca,"Frances Shakov, Co-Executive, Operations","ArtsSmarts supports, promotes, and demonstrates the impact of the arts as a way of engaging students in 21st century life and learning.",ArtSmarts,(416) 848-1882 ext. 112,http://artbridges.ca/community/profile/41,,,Arts Service Organization,,http://www.artssmartsopen.ca/
,"3850 Hillsdale Street
Regina, SK  S4S 7J5",,Multidisciplinaire,http://www.facebook.com/acfr.deregina,French,,Saskatchewan,All Ages,"Diffusion de spectacles (thÃ©Ã¢tre / thÃ©Ã¢tre communautaire / musique / arts de la scÃ¨ne...).

Mise en place d'ateliers artistiques: danse / cirque

Programme d'Ã©veil musical et au thÃ©Ã¢tre pour les plus jeunes",direction.acfr@gmail.com,"Jessica Chartier, Directrice gÃ©nÃ©rale","L'ACFR exerce un leadership dans la communautÃ© francophone de Regina. Par son action, elle inspire et cultive l'esprit communautaire et encourage la participation citoyenne.",Association Canadienne-FranÃ§aise de Regina,306-566-6020,http://artbridges.ca/community/profile/315,"1440, 9th Avenue North
Regina, SK  S4R 8B1",,Non-profit,,http://www.acfr.ca
,"208 Rue Avenue Mrg Jean Gaire CP 6
Saskatoon, SK  S0C 0J0",,Tous les secteurs,,French,,"Saskatchewan, Local: Sud-est Saskatchewan","Adults, All Ages, Children, Seniors, Youth, Familles",,agente@acfbellegarde.com,"Tanya Reimer, Directrice","D'organiser des activitÃ©s socioculturelles, Ã©ducatives, Ã©conomiques et communautaires pour rÃ©pondre aux besoins des francophones de Bellegarde et sa rÃ©gionale.",Association communautaire francophone de Bellegarde,(306) 452-6324,http://artbridges.ca/community/profile/43,,,"Program, Association Ã Â but non lucratif pour le dÃ©veloppement communautaire",,http://www.acfbellegarde.com
Notre clientÃ¨le sont les francophones et les francophiles ainsi que les anglophones de Gravelbourg et de ses environs incluant Ferland.,"133, 5e Avenue Est. C.P. 176
Gravelbourg, SK  S0H 1X0",,"Les arts prÃ©sentÃ©s ici: piÃ¨ce de thÃ©Ã¢tre, musique, exposition dâ",,French,,"Saskatchewan, Nous servons les gens de Gravelbourg et des environs incluant Ferland","Adults, All Ages, Children, Seniors, Youth, Portes ouvertes Ã  tous.",,acfg1@sasktel.net,"IrÃ¨ne Chabot, PrÃ©sidente",Lâ,Association communautaire fransaskoise de Gravelbourg,(306) 648-3103,http://artbridges.ca/community/profile/44,,,"Non-profit, Program",,http://www.acfgmaillard.ca
"Nous offrons principalement nos services Ã  la communautÃ© franco-manitobaine en rural, mais tout le monde est bienvenu.","614, rue Des Meurons, bureau 244
Winnipeg, MB  R2H 2P9",,,,French,,Manitoba,"All Ages, Nous offrons principalement nos services Ã  la communautÃ© franco-manitobaine en rural","L'ACFM fait la promotion d'une grande gamme d'activitÃ©s culturelles et artistiques francophones en rural.  Les principales activitÃ©s artistiques de notre organisme incluent des salons de livres/sÃ©ances de lecture, des spectacles de danse/magie/musique/d'humour, des rÃ©citals, des fÃªtes culturelles, des piÃ¨ces de thÃ©Ã¢tre, des projections de films francophones, des confÃ©rences, des expositions itinÃ©rantes d'arts visuels, des ateliers de dessin/peinture/d'Ã©criture (livres/piÃ¨ces de thÃ©Ã¢tre) et des cours de danse/violon/chant/sculpture/prÃ©paration d'un bulletin communautaire ou matÃ©riel promotionnel/d'autres instruments/d'arts dramatiques/des mÃ©tiers d'art (tissage/poterie/courtepointe/tricot/broderie). Tous nos Ã©vÃ©nements Ã©tant accessibles, inclusives et gratuits ou trÃ¨s abordables, les activitÃ©s artistiques ayant cours prÃ©sentement incluent l'AGA du ComitÃ© culturel d'Ã",administration@acfm.ca,"Nigel Leslie-Allen, PrÃ©posÃ© aux communications et Ã  l'administration",Lâ,"Association culturelle franco-manitobaine, inc.","(204) 231-8581, poste 201",http://artbridges.ca/community/profile/324,,,Non-profit,,http://www.acfm.ca
,"C.P. 880
Iqaluit, NU  X0A 0H0",,"Arts dramatiques, arts visuels, musique, danse",,French,,"Nunavut, ville d'Iqaluit","Adults, Children, FNMI, Youth",Lâ,vieculturelle@nunafranc.ca,"CÃ©cile GuÃ©rin, Coordonnatrice Ã©vÃ©nementielle",Promouvoir le franÃ§ais Ã  travers les disciplines dâ,Association des francophones du Nunavut,(867) 979-4606 poste 23,http://artbridges.ca/community/profile/46,,,"Non-profit, Program",,http://www.franconunavut.ca
,"5016, 48e rue, C.P.1586
Yellowknife, NT  X1A 2P2",,"Divers (musiques, improvisations, visuels, danses, arts...)",,"English, French",,"Northwest Territories, Yellowknife","Adults, All Ages, Children, Seniors, Youth, Tous",Lâ,dgafcy@franco-nord.com,"Pascaline GrÃ©au, Directrice gÃ©nÃ©rale",Lâ,Association franco-culturelle de Yellowknife,(867) 873-3292,http://artbridges.ca/community/profile/50,,,Non-profit,,http://www.afcy.info/
,"302, rue Strickland
Whitehorse, YT  Y1A 2K1",,"Arts visuels, mÃ©diatiques, thÃ©Ã¢tre, danse, musique, littÃ©rature",,French,,Yukon,"Adults, All Ages, Children, Seniors, Youth, Ouvert Ã Â tous",,vhamel@afy.yk.ca,"Virginie Hamel, Gestionnaire Arts et culture",AmÃ©liorer la qualitÃ© de vie des membres de la communautÃ© grÃ¢ce Ã  la mise en Å,Association franco-yukonnaise,(867) 668-2663 poste 221,http://artbridges.ca/community/profile/52,,,"Non-profit, Program",,http://www.culturel-yukon.ca
"Objectifs:

Lâ","2320 avenue Louise
Saskatoon, SK  S7J 3M7",,"Arts visuels, musique et improvisation",,French,,Saskatchewan,Youth,Programme â,direction@ajf.ca,"Julien Gaudet, Directeur gÃ©nÃ©ral",Vision: Lâ,Association jeunesse fransaskoise,(306) 653-7447,http://artbridges.ca/community/profile/53,,,Non-profit,,http://www.ajf.ca
,"58 Falcon Drive, unitÃ© 35
Whitehorse, YT  Y1A 6V6",,ThÃ©Ã¢tre et spectacles multi-disciplinaire,https://www.facebook.com/theatreartlequin,"English, French",,"Yukon, principalement Ã Â Whitehorse","Adults, Children, Seniors, une clientÃ¨le adulte de tous Ã¢ges et les enfants du primaire avec le ThÃ©Ã¢tre de la pastÃ¨que",Mise en scÃ¨ne dâ,art-lequin@live.ca,"Pierre Gauthier, PrÃ©sident",1. DÃ©velopper lâ,Association ThÃ©Ã¢tre Art-Lequin,(867) 668-6696,http://artbridges.ca/community/profile/54,,,"Non-profit, Association sans but lucratif",,
,"4430 rue Drolet
MontrÃ©al, QC  H2W 2L8",,"Visual arts, performing arts, multidisciplinary arts",,"English, French",,"Quebec, MontrÃ©al, QuÃ©bec &amp; Canada","Adults, All Ages, Children, Seniors, Youth, All citizens",Plusieurs rÃ©alisations marquent le parcours de lâ,info@atsa.qc.ca,"Annie Roy, Co-Founder",Lâ,ATSA,(514) 844-9830,http://artbridges.ca/community/profile/11,,"Pierre Allard, Co-Founder",Non-profit,,http://www.atsa.qc.ca
,"4150, rue Sainte-Catherine Ouest, Suite 360
Westmount, QC  H3Z 2Y5",,Toutes les disciplines artistiques et la littÃ©rature,,"English, French, Inuktitut",,"Quebec, Nunavik","Adults, All Ages, Children, FNMI, Seniors, Youth, Artistes du Nunavik et les artistes du QuÃ©bec intÃ©ressÃ©s par une rÃ©sidence d'artiste au Nunavik","Aumaaggiivik soutient les artistes de toutes disciplines (arts visuels, musique, arts mÃ©diatiques, littÃ©rature, rÃ©cit oral, etc.) en stimulant leur carriÃ¨re, entre autres, grÃ¢ce Ã  des programmes de bourse et des formations spÃ©cialisÃ©es ou dâ",louisgagnon@avataq.qc.ca,"Louis Gagnon, Directeur","Aumaaggiivik, le SecrÃ©tariat des arts du Nunavik, a pour mission de soutenir et d'amÃ©liorer la pratique artistique au Nunavik, de mÃªme que d'encourager le dÃ©veloppement Ã©conomique et l'instauration d'emplois durables dans le secteur artistique et culturel de la rÃ©gion.",Aumaaggiivik: Le secrÃ©tariat des arts du Nunavik,"(514) 989-9031, poste 246",http://artbridges.ca/community/profile/55,,,Non-profit,,http://www.avataq.qc.ca/en/Aumaaggiivik
Youtube Channel: https://www.youtube.com/user/OneWorldAwesomeArts/videos,"250 Holland Ave.
Ottawa, ON  K1Y 0Y5",,"Dance, Literary Arts, Media Arts, Multidisciplinary, Music, Theatre",https://www.facebook.com/masc.artseducation/,"English, French",,Ontario,All Ages,"AWESOME ARTS EN FOLIE

Awesome Arts is a rich program that allows participants of all ages to explore global issues through the arts. Held in partnership with after-school school programs, organizations and community centres, Awesome Arts is an exciting series of workshops culminating in a public celebration. During Awesome Arts, participants express themselves via various art forms such as slam poetry, animation, music, theatre and video, all the while exploring important issues. Awesome Arts participants share their talents at a final performance, which can also feature professional artists, inspiring the entire community to remain connected with the arts and the issues. 



To date Awesome Arts and its French program Arts en folie has been run in a number of communities around Ottawa with a variety of partners, including 6 consecutive years in Lowertown and twice in Sandy Hill. Awesome Arts has provided 660 individual workshops to 1200 children, youth and seniors. Awesome Arts Festivals have featured performances from over 700 children, youth and seniors and 65 local professional artists to over 5275 Ottawa residents.



After a five-year history with One World Arts, Awesome Arts moved to MASC's banner as of July 1, 2013.



For more information as to how your school, organization or community can host an Awesome Arts program, please contact Awesome Arts Director Micheline Shoebridge at 613-725-9119



SENIORS PROGRAM



Since 2009, MASC has been serving up the arts to seniors in Ottawa-Gatineau with programming featuring talented artists, an enthusiastic group of individuals and ensembles who entertain, educate and enlighten. MASC artists are professional musicians, visual and video artists, writers, storytellers, actors and dancers. Each offers a unique artistic activity to seniors, bringing opportunities for hands-on participation in engaging workshops or as an audience for thrilling, multi-cultural performances.



Participants speak of learning new skills, widening their understanding of other cultures and the excitement of finding a creative ability.  Performances and discussions with the artists afterwards have proved an exceptional experience for both participants and performers.  For example, a presentation by Aboriginal Experiences inspired the following comment by the organizer: ""Our oldest member, aged 95, was most eager to join in the friendship dance and quite a few audience members danced on stage with the performers.  This kind of interactive performance really connected with them.""



MASC's Seniors Program brings professional artists in all disciplines to work with seniors in homes, centres and hospitals, offering experiences in the arts through performances, workshops and residencies.  MASC programs are offered at a subsidized rate, with priority given to organizations who work with low-income seniors, or who have limited budgets for arts programming.



- See more at: http://www.masconline.ca/en/programs/programs-for-seniors.aspx#sthash.zBAhuOeI.dpuf



ART AU TRAVAIL

Art au travail est un projet dâ",audreychurgin@masconline.ca,"Audrey Churgin, Executive Director","MASC brings the arts and culture alive for over 100,000 children, youth, teachers and seniors each year.With a passionate commitment to provide schools and communities with experiences of artistic excellence and creative process, MASC proudly represents a roster of over 60 professional artists. All MASC artists have undergone Vulnerable Sector Screening.



Working out of diverse cultural traditions, MASC artists offer workshops, performances, artist-in-residence programs and professional development in music, dance, drama, literary, media and visual arts. MASC programs are delivered in English and French, throughout Eastern Ontario and Western QuÃ©bec to students in Kindergarten to Grade 12, and to youths and adults in a variety of community settings (daycares, museums, NCC, festivals and seniors venues.)



MASC is known widely as a dynamic and energetic team of artists and staff who are deeply invested in the communities we serve. MASC's outreach and advocacy for arts education and creative experience is unparalleled in the region. MASC's work includes many annual events, scholarship programs for under-served communities, professional development opportunities for teachers, artists and staff, and new programs tailored specifically for seniors and street-involved youth. MASC's name is synonymous with excellence, innovation and professionalism.



- See more at: http://www.masconline.ca/en/who-we-are.aspx#sthash.eRVgxGJB.dpuf",Awesome Arts/Arts en folie and Seniors Program,613 725 9119,http://artbridges.ca/community/profile/416,"250 Holland Ave.
Ottawa, ON  K1Y 0Y5","Micheline Shoebridge, Awesome Arts and Seniors Program Director","Annual Festival, Charity, Non-profit, Program, Project, MASC provides schools and communities with artistic and cultural experiences.",https://twitter.com/MASConline,http://www.masconline.ca
http://blackbirdnorthart.tumblr.com/,"PO Box #7, R.R. #2
Ottertail-Bruce Mines, ON  P0R 1C0",,"Community murals, painting workshops, installations",http://www.facebook.com/blackbirdnortharts,English,,"Ontario, Bruce Mines, Ontario â","Adults, FNMI, Seniors, Youth, Elders","Ongoing workshops facilitated by resident guest artist at Black Bird Studio.





CURRENT: Lead Contractor for 'Graffiti Reframed,' a youth mural project by the Arts Council of Sault Ste. Marie & District and NORDIK Institute. Between September - October 2014 three large-scale murals will be completed in the downtown core of Sault Ste. Marie.





PAST: Black Bird North Arts is currently working with Mississauga First Nation located in Blind River, Ontario. The youth mural project collaborates with an Elderâ",blackbirdnortharts@yahoo.ca,"Sharon Hunter,","To create community mural projects with youth. Workshops and site specific art projects with northern, including fly-in remote, communities that may have limited access to arts programming.",Black Bird North Arts,(705) 785-3062,http://artbridges.ca/community/profile/58,,,"Non-profit, Project",,http://www.blackbirdnortharts.com
,"Suite 432, 3680 Jeanne-Mance
MontrÃ©al, QC  H2X 2K5",,Theatre,,"English, French",,"Quebec, MontrÃ©al","Youth, Ages 12-25","The YouthWorks program, under the umbrella of Black Theatre Workshop is designed to train individuals in the art of theatre performance, as well as to foster and mentor emerging artists in the midst of their professional development. YouthWorks staff and Guest Instructors are all working industry professionals. From weekly workshops, to national playwriting contests, to theatre productions, YouthWorks equips students to be â",youthworks@blacktheatreworkshop.ca,"Deborah Forde, YouthWorks Program Director","The Mission of BTW's YouthWorks Training program is to engage Black and other youth with the skills, crafts, potential and rewards of creative expression through live performance, and to present YouthWorks productions and performances to Montreal audiences, as artworks which express the hopes, fears, and dreams of the students.",Black Theatre Workshop,(514) 932-1104,http://artbridges.ca/community/profile/59,,"Mike Payette, Director of the Artist Mentorship Program","Non-profit, Not-for-profit professional live performing arts training",,http://www.blacktheatreworkshop.ca
Communities hire BluePrintForLife to conduct week long programs. Each community raises the funds to pay for the program through â,"112 Coriolis Court
Stittsville, ON  K2S 0P3","BluePrintForLife is really good at bringing people together during the Hiphop programs. RCMP, teachers, police, parents and youth all dance and learn together and barriers are broken down. The programs also offer intense professional development for the adults involved. It is a means for teachers to encourage relationships with hard to reach kids. Word of mouth about BluePrintForLife spreads rapidly, due to its amazing and successful programs. Because of this, it has not been difficult to raise funds needed.



One of BluePrintForLifeâ",The arts disciplines offered are mainly Hiphop dance. Some mural making is offered that blends Northern imagery with graffiti techniques. At the end of each week all program participants put on an amazing Hiphop event.,,"English, French, Inuktitut",,"Alberta, Northwest Territories, Nunavut, Ontario, BluePrintForLife's catchment area to date is: 36 Northern and Arctic Communities as well as Calgary.","Adults, Children, FNMI, Youth, Ages 12 to 30",BluePrintForLife runs â,Steve@BluePrintForLife.ca,"Steve Leafloor, Founder (Ottawa/National)","BluePrintForLife is a business that was founded in 2006 by Stephen Leafloor, social worker and b-boy. It is an outreach model that connects with local resources in each community. 

Itâ",Blue Print For Life,(613) 592-2220,http://artbridges.ca/community/profile/60,,,Business,,http://www.blueprintforlife.ca/
,"411 Pelissier Street
Windsor, ON  N9A 4L2",,Multi-arts,,English,,"Ontario, Windsor","Adults, Youth","Our projects, events, workshops, performances, and interventions offer a sometimes momentary, sometimes extended, injection of creativity into a situation, surface, place, or community. These projects continually connect various disciplines through research and social practice, generating works and interventionist tactics that adjust, critique, annotate, and re-imagine the city that we encounter.",info@brokencitylab.org,"Justin A. Langlois, Research Director","Broken City Lab is an artist-led interdisciplinary collective and non-profit organization working to explore and unfold curiosities around locality, infrastructures, education, and creative practice leading towards civic change.",Broken City Lab,,http://artbridges.ca/community/profile/62,,,"Artist Collective, Non-profit",,http://www.brokencitylab.org/
,"C.P. 53004 (Succ. Rideau)
Ottawa, ON  K1N 1C5",,Arts visuels,,French,,Ontario,"Adults, All Ages, Children, Seniors, Youth, Artistes visuels francophones et francophiles de l'Ontario",,info@bravoart.org,"Yves M. Larocque, Directeur gÃ©nÃ©ral et artistique",â,Bureau des regroupements des artistes visuels de lâ,(819) 457-1892,http://artbridges.ca/community/profile/63,,,"Resource, Organisme de services aux arts",,http://www.bravoart.org
The Cabbagetown Community Arts Centre (CCAC) is a community arts charitable organization that was founded in 1979 by David Blackmore and Tommy Oki.,"454 Parliament Street
Toronto, ON  M5A 2A2","The Cabbagetown Community Arts Centre is really good at their music program. It is known for its supportive environment for aspiring young musicians which includes a homey and nurturing atmosphere where kids can gather and learn.



The CCACâ","Music, art, karate, drama classes, a drop-in coffee house, and summer arts camp.",,English,,"Ontario, Cabbagetown, Moss Park, St. Jamestown and Regent Park (communities in Toronto) but doors open to all","Adults, Children, Youth, Primarily with children and youth ages 3-20; they also offer a few adult drop-in programs","The music classes offered are piano, violin, guitar, saxophone, flute, and drums. Music theory, visual arts and karate are taught in group classes. Their summer camp offers lots of arts and crafts as well as field trips around the city to attractions such as: the zoo, Casa Loma, and the Royal Ontario Museum. Classes are mostly available through registration, few are drop-in. On Sunday evenings the centre offers a coffee house wherein people can play music and recite poetry. Fees for classes are determined through a sliding scale and about 75% of the students require subsidies. The centre holds 3 recitals a year and showcases the participantsâ",theccac@yahoo.com,"Sarah Patrick, Executive Director","Its mandate is to provide art classes, music instruction, karate and summer camp to children in the CCACâ",Cabbagetown Community Arts Centre,(416) 925-7222,http://artbridges.ca/community/profile/64,,,Non-profit,,http://www.cabbagetownarts.org/
,"4237 Ste-Catherine Est
MontrÃ©al, QC  H1V 1X4",,"Arts visuels, arts mÃ©diatiques, danse",,French,,"Quebec, MontrÃ©al MÃ©tropolitain",Youth,,cafegraffiti@cafegraffiti.net,"Raymond Viger, Directeur","Le CafÃ© Graffiti est une famille sociale, un milieu de vie pour des jeunes marginalisÃ©s qui apprennent Ã  vivre leur art, Ã  lâ",CafÃ©-Graffiti,(514) 259-6900,http://artbridges.ca/community/profile/65,,,"Non-profit, Program",,http://www.cafegraffiti.net/
,"388 Queen St. E. Unit 3
Toronto, ON  M5A 1T3",,Theatre,https://www.facebook.com/CahootsTheatre/,"English, ASL",,Canada-wide,"Dis/Abilities, youth, artists, general arts",The Deaf Artists & Theatres Toolkit (DATT) serves as a resource to increase the feasibility of collaborations between professional theatre companies and Deaf artists as well as to increase engagement with Deaf audiences. This online toolkit provides a guide for theatre companies and is informed by Cahoots Theatreâ,liza@cahoots.ca,,"MANDATE

Cahoots Theatre investigates and examines the complexities of diversity through the creation and production of new theatre works, development of professional artists and the engagement of communities.



VISION

Cahoots is a leader in the theatrical community, providing a much needed home for the voice of the â",Cahoots Theatre Company,4162039000,http://artbridges.ca/community/profile/458,"388 Queen St. E. Unit 3
Toronto, ON  M5A 1T3","Liza Mattimore, Interim General Manager",Resource,https://twitter.com/CahootsTheatre,http://www.cahoots.ca/
